id,produto,categoria,quantidade,valor,data,vendedor,forma_pagamento
1,Webcam,Perifericos,1,280,2026-01-13,Julia,Pix
2,SSD 1TB,Componentes,1,450,2026-02-14,Pedro,Cartao
3,Tablet,Eletronicos,1,1500,2026-09-16,Pedro,Pix
4,Webcam,Perifericos,1,280,2026-08-03,Carlos,Cartao
5,Memoria RAM 16GB,Componentes,1,380,2026-03-23,Julia,Cartao
6,Tablet,Eletronicos,1,1500,2026-06-22,Ana,Pix
7,Memoria RAM 16GB,Componentes,1,380,2026-05-16,Ana,Cartao
8,Placa de Video,Componentes,3,2800,2026-07-13,Ana,Cartao
9,Headset,Perifericos,1,300,2026-07-05,Pedro,Pix
10,Webcam,Perifericos,3,280,2026-05-29,Ana,Boleto
11,Mouse,Perifericos,1,120,2026-08-21,Julia,Cartao
12,Mouse,Perifericos,2,120,2026-05-17,Julia,Boleto
13,Headset,Perifericos,1,300,2026-03-29,Pedro,Cartao
14,Mouse,Perifericos,2,120,2026-04-23,Julia,Pix
15,Notebook,Eletronicos,1,3500,2026-01-17,Joao,Cartao
16,HD 2TB,Componentes,1,420,2026-06-11,Carlos,Cartao
17,HD 2TB,Componentes,1,420,2026-08-23,Carlos,Pix
18,Headset,Perifericos,3,300,2026-05-15,Julia,Cartao
19,Teclado,Perifericos,1,250,2026-04-23,Carlos,Cartao
20,Notebook,Eletronicos,2,3500,2026-02-26,Carlos,Cartao
21,Teclado,Perifericos,5,250,2026-02-02,Marina,Pix
22,Headset,Perifericos,2,300,2026-01-06,Julia,Cartao
23,Headset,Perifericos,1,300,2026-05-17,Julia,Pix
24,Smartphone,Eletronicos,1,2200,2026-01-02,Julia,Boleto
25,Teclado,Perifericos,3,250,2026-04-02,Pedro,Boleto
26,Mouse,Perifericos,1,120,2026-09-17,Pedro,Pix
27,Smartphone,Eletronicos,1,2200,2026-09-29,Ana,Cartao
28,Monitor,Eletronicos,1,1200,2026-07-05,Joao,Pix
29,Headset,Perifericos,3,300,2026-02-10,Ana,Cartao
30,Placa de Video,Componentes,1,2800,2026-09-30,Carlos,Pix
31,Headset,Perifericos,1,300,2026-05-16,Pedro,Boleto
32,Tablet,Eletronicos,5,1500,2026-04-13,Julia,Pix
33,Webcam,Perifericos,1,280,2026-08-13,Pedro,Cartao
34,Notebook,Eletronicos,2,3500,2026-01-11,Pedro,Cartao
35,Notebook,Eletronicos,1,3500,2026-01-31,Carlos,Pix
36,Mouse,Perifericos,1,120,2026-09-21,Carlos,Pix
37,Headset,Perifericos,3,300,2026-08-31,Carlos,Cartao
38,Smartphone,Eletronicos,1,2200,2026-02-19,Julia,Cartao
39,Teclado,Perifericos,2,250,2026-01-28,Julia,Cartao
40,Notebook,Eletronicos,1,3500,2026-06-23,Ana,Pix
41,Teclado,Perifericos,1,250,2026-08-05,Carlos,Pix
42,HD 2TB,Componentes,2,420,2026-08-15,Pedro,Pix
43,Headset,Perifericos,3,300,2026-01-08,Ana,Boleto
44,Smartphone,Eletronicos,1,2200,2026-09-06,Marina,Pix
45,Notebook,Eletronicos,1,3500,2026-07-14,Ana,Boleto
46,SSD 1TB,Componentes,4,450,2026-08-21,Joao,Cartao
47,Placa de Video,Componentes,1,2800,2026-09-07,Carlos,Pix
48,Notebook,Eletronicos,1,3500,2026-02-01,Julia,Pix
49,Teclado,Perifericos,1,250,2026-09-29,Carlos,Pix
50,Memoria RAM 16GB,Componentes,3,380,2026-02-05,Pedro,Pix
51,Teclado,Perifericos,2,250,2026-05-07,Pedro,Cartao
52,Teclado,Perifericos,1,250,2026-09-25,Joao,Boleto
53,SSD 1TB,Componentes,2,450,2026-05-03,Joao,Cartao
54,Mouse,Perifericos,2,120,2026-06-11,Ana,Pix
55,Headset,Perifericos,1,300,2026-02-21,Ana,Cartao
56,Monitor,Eletronicos,1,1200,2026-06-28,Ana,Boleto
57,Smartphone,Eletronicos,3,2200,2026-06-04,Pedro,Boleto
58,Headset,Perifericos,3,300,2026-06-03,Julia,Pix
59,Mouse,Perifericos,1,120,2026-02-24,Julia,Cartao
60,Headset,Perifericos,3,300,2026-06-25,Carlos,Cartao
61,Teclado,Perifericos,1,250,2026-05-09,Ana,Pix
62,Mouse,Perifericos,2,120,2026-01-02,Joao,Cartao
63,Mouse,Perifericos,2,120,2026-08-15,Pedro,Cartao
64,Monitor,Eletronicos,1,1200,2026-03-18,Pedro,Pix
65,Headset,Perifericos,1,300,2026-08-09,Carlos,Pix
66,HD 2TB,Componentes,1,420,2026-01-21,Joao,Pix
67,Monitor,Eletronicos,4,1200,2026-07-28,Pedro,Cartao
68,Mouse,Perifericos,1,120,2026-03-25,Carlos,Boleto
69,SSD 1TB,Componentes,3,450,2026-06-20,Marina,Cartao
70,Memoria RAM 16GB,Componentes,1,380,2026-05-17,Carlos,Cartao
71,Memoria RAM 16GB,Componentes,3,380,2026-08-29,Carlos,Pix
72,Mouse,Perifericos,1,120,2026-04-27,Carlos,Pix
73,Mouse,Perifericos,1,120,2026-02-05,Joao,Pix
74,Webcam,Perifericos,4,280,2026-06-19,Ana,Pix
75,Smartphone,Eletronicos,1,2200,2026-05-16,Ana,Pix
76,SSD 1TB,Componentes,1,450,2026-06-10,Marina,Cartao
77,Mouse,Perifericos,1,120,2026-04-08,Joao,Pix
78,Headset,Perifericos,4,300,2026-04-11,Joao,Cartao
79,HD 2TB,Componentes,2,420,2026-06-10,Julia,Boleto
80,Mouse,Perifericos,1,120,2026-06-08,Julia,Cartao
81,Mouse,Perifericos,4,120,2026-03-07,Carlos,Cartao
82,Webcam,Perifericos,1,280,2026-03-31,Pedro,Cartao
83,Memoria RAM 16GB,Componentes,2,380,2026-06-05,Joao,Pix
84,Headset,Perifericos,2,300,2026-06-14,Marina,Cartao
85,Teclado,Perifericos,1,250,2026-03-28,Julia,Pix
86,Webcam,Perifericos,2,280,2026-06-21,Ana,Cartao
87,Webcam,Perifericos,1,280,2026-04-26,Carlos,Pix
88,Placa de Video,Componentes,2,2800,2026-02-07,Marina,Cartao
89,Smartphone,Eletronicos,1,2200,2026-07-16,Marina,Cartao
90,Webcam,Perifericos,3,280,2026-02-24,Marina,Pix
91,Webcam,Perifericos,3,280,2026-08-26,Ana,Cartao
92,Monitor,Eletronicos,5,1200,2026-03-10,Marina,Cartao
93,Headset,Perifericos,3,300,2026-08-15,Pedro,Cartao
94,Teclado,Perifericos,1,250,2026-08-17,Carlos,Cartao
95,Mouse,Perifericos,2,120,2026-05-07,Julia,Pix
96,Teclado,Perifericos,2,250,2026-05-03,Joao,Cartao
97,Mouse,Perifericos,1,120,2026-06-21,Joao,Boleto
98,Smartphone,Eletronicos,1,2200,2026-07-16,Julia,Pix
99,Teclado,Perifericos,1,250,2026-06-19,Pedro,Cartao
100,Memoria RAM 16GB,Componentes,1,380,2026-07-19,Pedro,Boleto
101,Memoria RAM 16GB,Componentes,1,380,2026-07-14,Marina,Pix
102,SSD 1TB,Componentes,1,450,2026-08-03,Pedro,Cartao
103,Headset,Perifericos,1,300,2026-04-23,Marina,Pix
104,Notebook,Eletronicos,1,3500,2026-06-22,Julia,Cartao
105,Smartphone,Eletronicos,1,2200,2026-08-28,Carlos,Boleto
106,HD 2TB,Componentes,1,420,2026-01-14,Ana,Cartao
107,Teclado,Perifericos,1,250,2026-01-26,Joao,Pix
108,Mouse,Perifericos,3,120,2026-07-14,Joao,Cartao
109,Mouse,Perifericos,1,120,2026-02-11,Marina,Pix
110,Placa de Video,Componentes,2,2800,2026-06-29,Carlos,Cartao
111,Webcam,Perifericos,1,280,2026-01-16,Carlos,Pix
112,Smartphone,Eletronicos,2,2200,2026-03-06,Marina,Cartao
113,Tablet,Eletronicos,2,1500,2026-05-12,Joao,Pix
114,SSD 1TB,Componentes,1,450,2026-02-28,Carlos,Boleto
115,Notebook,Eletronicos,4,3500,2026-06-09,Pedro,Cartao
116,Teclado,Perifericos,3,250,2026-04-12,Ana,Cartao
117,Mouse,Perifericos,1,120,2026-06-04,Julia,Cartao
118,Placa de Video,Componentes,2,2800,2026-01-22,Joao,Cartao
119,Notebook,Eletronicos,3,3500,2026-06-24,Ana,Boleto
120,Monitor,Eletronicos,1,1200,2026-07-05,Julia,Boleto
121,Smartphone,Eletronicos,2,2200,2026-04-01,Julia,Cartao
122,Headset,Perifericos,2,300,2026-09-05,Marina,Cartao
123,Mouse,Perifericos,1,120,2026-05-06,Ana,Pix
124,SSD 1TB,Componentes,3,450,2026-07-14,Joao,Pix
125,Smartphone,Eletronicos,1,2200,2026-04-19,Joao,Cartao
126,Memoria RAM 16GB,Componentes,4,380,2026-05-22,Pedro,Pix
127,Notebook,Eletronicos,1,3500,2026-07-28,Marina,Cartao
128,Teclado,Perifericos,1,250,2026-09-09,Marina,Cartao
129,Tablet,Eletronicos,1,1500,2026-05-05,Joao,Cartao
130,Headset,Perifericos,2,300,2026-06-26,Marina,Boleto
131,Mouse,Perifericos,1,120,2026-08-21,Joao,Pix
132,SSD 1TB,Componentes,4,450,2026-06-11,Ana,Cartao
133,Webcam,Perifericos,1,280,2026-04-09,Carlos,Cartao
134,Headset,Perifericos,1,300,2026-09-26,Pedro,Pix
135,Smartphone,Eletronicos,1,2200,2026-04-27,Joao,Pix
136,Headset,Perifericos,2,300,2026-05-21,Ana,Boleto
137,Webcam,Perifericos,1,280,2026-03-06,Julia,Boleto
138,Memoria RAM 16GB,Componentes,1,380,2026-05-26,Marina,Cartao
139,Placa de Video,Componentes,1,2800,2026-05-10,Marina,Pix
140,Teclado,Perifericos,2,250,2026-01-28,Carlos,Pix
141,Mouse,Perifericos,1,120,2026-05-08,Ana,Cartao
142,Headset,Perifericos,3,300,2026-04-26,Pedro,Pix
143,Mouse,Perifericos,1,120,2026-08-08,Joao,Cartao
144,HD 2TB,Componentes,1,420,2026-02-20,Carlos,Cartao
145,Notebook,Eletronicos,1,3500,2026-05-03,Carlos,Cartao
146,Teclado,Perifericos,1,250,2026-08-29,Joao,Pix
147,Mouse,Perifericos,4,120,2026-08-21,Ana,Cartao
148,SSD 1TB,Componentes,1,450,2026-04-12,Marina,Pix
149,Smartphone,Eletronicos,1,2200,2026-05-17,Carlos,Pix
150,Mouse,Perifericos,2,120,2026-05-28,Marina,Pix
151,Webcam,Perifericos,1,280,2026-05-20,Pedro,Cartao
152,Headset,Perifericos,1,300,2026-08-10,Julia,Pix
153,Monitor,Eletronicos,2,1200,2026-01-11,Julia,Cartao
154,SSD 1TB,Componentes,1,450,2026-03-31,Marina,Cartao
155,Mouse,Perifericos,4,120,2026-08-12,Julia,Cartao
156,Teclado,Perifericos,1,250,2026-07-29,Joao,Pix
157,Smartphone,Eletronicos,2,2200,2026-07-30,Julia,Cartao
158,Teclado,Perifericos,1,250,2026-01-19,Marina,Pix
159,Monitor,Eletronicos,1,1200,2026-07-26,Pedro,Cartao
160,Memoria RAM 16GB,Componentes,1,380,2026-08-25,Marina,Pix
161,Headset,Perifericos,1,300,2026-09-13,Julia,Cartao
162,Mouse,Perifericos,2,120,2026-03-09,Joao,Cartao
163,Monitor,Eletronicos,2,1200,2026-05-03,Julia,Pix
164,Headset,Perifericos,3,300,2026-02-17,Carlos,Boleto
